"Alunos","Origem dos Alunos","Curso","Número de faltas seguidas","Situação Socioeconômica","Situação da Matricula"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","16.4","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","16.4","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","16.4","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","16.4","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","16.4","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","16.4","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","16.4","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","16.4","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","16.4","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","16.4","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","16.4","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","16.4","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","16.4","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","16.4","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","16.4","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","16.4","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","16.4","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","16.4","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Alto","Ruim","Evadido"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","5","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","5","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","5","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","5","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","5","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","5","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","5","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","5","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","5","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","5","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","5","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","5","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","5","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","5","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","5","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","5","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","5","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","5","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","87.7","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","88.3","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","88.3","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","74.8","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","74.8","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","74.8","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","74.8","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","74.8","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","74.8","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","21.7","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","21.7","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","21.7","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","112","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","36.4","Bacharelado","Alto","Ruim","Evadido"
"Aluno 1","36.4","Licenciatura","Alto","Ruim","Evadido"
"Aluno 1","257","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","110","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","110","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","110","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","48.5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","48.5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","48.5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","48.5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","48.5","Bacharelado","Baixo","Boa","Cursando"
"Aluno 1","48.5","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","48.5","Licenciatura","Baixo","Boa","Cursando"
"Aluno 1","24.6","Bacharelado","Baixo","Boa","Cursando"
"Aluno 2","24.6","Licenciatura","Baixo","Boa","Cursando"
"Aluno 3","134","Licenciatura","Baixo","Boa","Cursando"
"Aluno 4","84.9","Licenciatura","Baixo","Ruim","Evadido"
