Alunos,Distância,Curso,Situação da Matricula,Semestre da Evasão,Ano de ingresso
Aluno 1,"16,4 km",Bacharelado,Cursando,*,2022
Aluno 2,"16,4 km",Bacharelado,Cursando,*,2022
Aluno 3,"16,4 km",Bacharelado,Cursando,*,2022
Aluno 4,"16,4 km",Bacharelado,Cursando,*,2022
Aluno 5,"16,4 km",Bacharelado,Cursando,*,2022
Aluno 6,"16,4 km",Bacharelado,Cursando,*,2022
Aluno 7,"16,4 km",Bacharelado,Cursando,*,2022
Aluno 8,"16,4 km",Bacharelado,Cursando,*,2022
Aluno 9,"16,4 km",Bacharelado,Cursando,*,2023
Aluno 10,"16,4 km",Bacharelado,Cursando,*,2023
Aluno 11,"16,4 km",Bacharelado,Cursando,*,2023
Aluno 12,"16,4 km",Bacharelado,Cursando,*,2023
Aluno 13,"16,4 km",Bacharelado,Cursando,*,2023
Aluno 14,"16,4 km",Bacharelado,Cursando,*,2023
Aluno 15,"16,4 km",Bacharelado,Cursando,*,2023
Aluno 16,"16,4 km",Bacharelado,Cursando,*,2023
Aluno 17,"16,4 km",Bacharelado,Cursando,*,2023
Aluno 18,"16,4 km",Licenciatura,Evadido,2019.1,2019
Aluno 19,"16,4 km",Licenciatura,Evadido,2019.1,2019
Aluno 20,"16,4 km",Licenciatura,Evadido,2019.1,2019
Aluno 21,"16,4 km",Licenciatura,Evadido,2019.1,2019
Aluno 22,"16,4 km",Licenciatura,Evadido,2020.2,2019
Aluno 23,"16,4 km",Licenciatura,Evadido,2020.1,2020
Aluno 24,"16,4 km",Licenciatura,Evadido,2020.2,2020
Aluno 25,"16,4 km",Licenciatura,Evadido,2020.1,2019
Aluno 26,"16,4 km",Licenciatura,Evadido,2021.2,2020
Aluno 27,"16,4 km",Licenciatura,Evadido,2021.1,2021
Aluno 28,"16,4 km",Licenciatura,Cursando,*,2022
Aluno 29,"16,4 km",Licenciatura,Cursando,*,2022
Aluno 30,"16,4 km",Licenciatura,Cursando,*,2023
Aluno 31,"16,4 km",Licenciatura,Cursando,*,2023
Aluno 32,"16,4 km",Licenciatura,Cursando,*,2021
Aluno 33,"16,4 km",Licenciatura,Cursando,*,2019
